电影·频道,#genre#
港台电影[1280*720][1280*720],http://migu.jilu8.cn/3221231477/index.m3u8
港台电影[1280*720][1280*720],http://migu.jilu8.cn/3221231562/index.m3u8
东方影视[1920*1080][1920*1080],http://migu.jilu8.cn/3221231639/index.m3u8
欧美影片[1280*720][1280*720],http://migu.jilu8.cn/3221231504/index.m3u8
上海影视[1920*1080],http://183.207.255.188/live/program/live/dsjpdhd/4000000/mnf.m3u8
万州影视[1024*576],http://123.146.162.24:8013/tslslive/vWlnEzU/hls/live_sd.m3u8
万州影视文艺[1024*576],http://123.146.162.24:8017/d4ceB1a/1000/live.m3u8
武强影视[785*576],http://hbwq.chinashadt.com:2035/live/stream:wqys.stream/playlist.m3u8
西安文化影视[320*180],http://stream2.xiancity.cn/xatv4/sd/live.m3u8
西安影视[320*180],http://stream2.xiancity.cn/xatv4/playlist.m3u8
西安影视[320*180],http://stream2.xiancity.cn/xatv4/sd/live.m3u8
西安影视[320*180],http://stream2.xiancity.cn/xatv4/sd/live.m3u8
新昌休闲影视[1920*1080],http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
新泰影视频道[640*480],http://live.xtgdw.cn:1935/live/xtys/playlist.m3u8
浙江绍兴影视台[1280*720],http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
欧美电影[1280*720][1280*720],http://migu.jilu8.cn/3221231565/index.m3u8
吴京[1280*720][1280*720],http://migu.jilu8.cn/3221231564/index.m3u8
动漫电影[1280*720][1280*720],http://migu.jilu8.cn/3221231568/index.m3u8
周润发影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/639526984
周润发影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/639526984
成龙作品集[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/707671890
郭富城影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330
郭富城影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/639528330
刘德华影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/659315648
刘德华影院[859*480],http://112.74.200.9:88/tv000000/m3u8.php?/migu/659315648
周星驰影院[1280*720],http://117.148.179.153/PLTV/88888888/224/3221231562/index.m3u8
张国荣影院[1280*720],http://117.148.179.177/PLTV/88888888/224/3221231790/index.m3u8
周润发影院[1280*720],http://117.148.179.177/PLTV/88888888/224/3221231709/index.m3u8
周润发影院[1280*720],http://117.148.179.177/PLTV/88888888/224/3221231709/index.m3u8
